phase_type,duration,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
planning,0.6,14886.556886789,14901.6791183699,15.1222315808864,85.9125242249234+0.168669474638912i,85.8983826381359+0.16867155555056i,-0.0141415867875168+2.0809116478282e-06i,,,0.530639071380719,5432,5438
traveling,6.89999999999999,14901.6791183699,15113.379185205,211.700066835101,85.8983826381359+0.16867155555056i,85.6998368941661+0.168701013080345i,-0.198545743969817+2.9457529785587e-05i,6.9757569541116,,,5438,5507
planning,0.2,15113.379185205,15118.8816119569,5.50242675188383,85.6998368941661+0.168701013080345i,85.6946850441938+0.168701776543485i,-0.00515184997230733+7.63463139791254e-07i,,,0.17962466714274,5507,5509
dwelling,18.1,15118.8816119569,15503.5428651659,384.661253208984,85.6946850441938+0.168701776543485i,85.3354751735289+0.168754939001195i,-0.359209870664898+5.31624577097545e-05i,,18.0999996746429,,5509,5690
planning,0.6,15503.5428651659,15518.6653026169,15.1224374509929,85.3354751735289+0.168754939001195i,85.3213262854488+0.168757049649575i,-0.0141488880800722+2.1106483799882e-06i,,,0.522758580059234,5690,5696
traveling,5.8,15518.6653026169,15671.8109064695,153.145603852638,85.3213262854488+0.168757049649575i,85.1779510077218+0.168778500670607i,-0.143375277726989+2.1451021032487e-05i,5.95061985927664,,,5696,5754
planning,1,15671.8109064695,15695.305986714,23.4950802445219,85.1779510077218+0.168778500670607i,85.1559822211114+0.168781785076451i,-0.0219687866103584+3.28440584407286e-06i,,,0.972924417663781,5754,5764
dwelling,17.3,15695.305986714,16079.7620501532,384.456063439136,85.1559822211114+0.168781785076451i,84.796628543714+0.168835689186508i,-0.359353677397465+5.39041100562077e-05i,,17.2141167288099,,5764,5937
planning,0.1,16079.7620501532,16082.4610969701,2.69904681686785,84.796628543714+0.168835689186508i,84.7941000353937+0.168836071652167i,-0.00252850832029594+3.82465659226616e-07i,,,0.00442293042111008,5937,5938
traveling,7.39999999999999,16082.4610969701,16332.1851624725,249.72406550242,84.7941000353937+0.168836071652167i,84.5593284654365+0.168871927473288i,-0.234771569957147+3.58558211211724e-05i,7.38798254642234,,,5938,6012
planning,0.5,16332.1851624725,16347.2569232986,15.0717608261712,84.5593284654365+0.168871927473288i,84.5451857884129+0.168874084700765i,-0.0141426770236279+2.15722747723412e-06i,,,0.4358074118642,6012,6017
dwelling,17.6,16347.2569232986,16754.1174988619,406.860575563285,84.5451857884129+0.168874084700765i,84.1645366773889+0.168932032632872i,-0.380649111023999+5.79479321066168e-05i,,17.59999960762,,6017,6193
planning,0.9,16754.1174988619,16777.5860207331,23.4685218711566,84.1645366773889+0.168932032632872i,84.1425472491728+0.16893540403411i,-0.0219894282161022+3.37140123765622e-06i,,,0.806865125535583,6193,6202
traveling,6.99999999999999,16777.5860207331,16999.9313816722,222.34536093914,84.1425472491728+0.16893540403411i,83.9335854409213+0.168967713663735i,-0.208961808251502+3.23096296257208e-05i,7.08794188209124,,,6202,6272
planning,0.3,16999.9313816722,17008.1628550209,8.23147334867099,83.9335854409213+0.168967713663735i,83.9258664610445+0.168968904400893i,-0.0077189798767705+1.19073715762474e-06i,,,0.218011503629971,6272,6275
dwelling,18.5,17008.1628550209,17466.7368963792,458.574041358341,83.9258664610445+0.168968904400893i,83.4962663404403+0.169035328830802i,-0.429600120604263+6.64244299087569e-05i,,18.433331686346,,6275,6460
planning,0.1,17466.7368963792,17469.6319135317,2.89501715244114,83.4962663404403+0.169035328830802i,83.4935486319349+0.169035752580024i,-0.00271770850538644+4.23749222433489e-07i,,,0.0602816165560911,6460,6461
traveling,5.8,17469.6319135317,17646.8330166588,177.201103127078,83.4935486319349+0.169035752580024i,83.3270584000795+0.169061799430462i,-0.166490231855349+2.60468504381661e-05i,5.93999406342299,,,6461,6519
