phase_type,duration,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
dwelling,15.5,13330.4084531037,13710.4424636145,380.034010510808,99.8166648259064+0.00382436116930849i,99.811599423695+0.00382437184491757i,-0.00506540221137186+1.06756090760031e-08i,,15.4999994658418,,4326,4481
planning,0.5,13710.4424636145,13723.5017056094,13.0592419949608,99.811599423695+0.00382437184491757i,99.8114252398077+0.00382437221257125i,-0.000174183887310164+3.67653683538971e-10i,,,0.427356686821267,4481,4486
traveling,5.4,13723.5017056094,13884.9658169462,161.46411133672,99.8114252398077+0.00382437221257125i,99.8092678866801+0.00382437678244891i,-0.00215735312755783+4.5698776637848e-09i,5.58547962817158,,,4486,4540
planning,0.3,13884.9658169462,13893.6565519293,8.69073498311081,99.8092678866801+0.00382437678244891i,99.8091518239181+0.00382437702807403i,-0.000116062762018032+2.45625112697129e-10i,,,0.255017609331153,4540,4543
dwelling,14.9,13893.6565519293,14270.7683483983,377.111796469035,99.8091518239181+0.00382437702807403i,99.8041236402269+0.0038243876360313i,-0.00502818369118074+1.06079572708383e-08i,,14.8191305475097,,4543,4692
planning,0.2,14270.7683483983,14276.2619107864,5.4935623880956,99.8041236402269+0.0038243876360313i,99.8040503233639+0.0038243877910196i,-7.33168630659975e-05+1.54988298237124e-10i,,,0.102918579221459,4692,4694
traveling,6.69999999999999,14276.2619107864,14513.1223669847,236.860456198265,99.8040503233639+0.0038243877910196i,99.8008766958563+0.00382439455446514i,-0.00317362750755024+6.76344554580849e-09i,6.73373393053084,,,4694,4761
planning,0.8,14513.1223669847,14534.8070419847,21.6846750000095,99.8008766958563+0.00382439455446514i,99.8005873380043+0.00382439516604944i,-0.00028935785196893+6.11584302298573e-10i,,,0.787552972956609,4761,4769
dwelling,15,14534.8070419847,14892.9139764489,358.106934464244,99.8005873380043+0.00382439516604944i,99.7958155298155+0.00382440522409159i,-0.00477180818884904+1.00580421456831e-08i,,14.9999999469327,,4769,4919
planning,0.2,14892.9139764489,14898.3504183533,5.43644190439591,99.7958155298155+0.00382440522409159i,99.7957429840725+0.00382440537746681i,-7.25457429808785e-05+1.53375223112262e-10i,,,0.130651597357995,4919,4921
traveling,6.39999999999999,14898.3504183533,15115.1231392088,216.77272085551,99.7957429840725+0.00382440537746681i,99.7928398771405+0.00382441156069669i,-0.00290310693205242+6.18322987602782e-09i,6.49251633078309,,,4921,4985
planning,0.3,15115.1231392088,15123.7563598247,8.63322061584404,99.7928398771405+0.00382441156069669i,99.7927245912171+0.00382441180481224i,-0.000115285923328656+2.44115550256802e-10i,,,0.218043374944113,4985,4988
dwelling,15.9,15123.7563598247,15510.1629495624,386.406589737753,99.7927245912171+0.00382441180481224i,99.7875746667005+0.00382442266795272i,-0.00514992451668661+1.08631404852413e-08i,,15.8666663912441,,4988,5147
planning,0.9,15510.1629495624,15531.9981019709,21.8351524085283,99.7875746667005+0.00382442266795272i,99.7872836634361+0.00382442328181795i,-0.000291003264365486+6.13865225145005e-10i,,,0.802662600545296,5147,5156
traveling,5.5,15531.9981019709,15674.2961386947,142.298036723743,99.7872836634361+0.00382442328181795i,99.785385843089+0.00382442729128814i,-0.00189782034703967+4.00947018685052e-09i,5.66995226766971,,,5156,5211
planning,0.8,15674.2961386947,15693.5936807915,19.2975420967796,99.785385843089+0.00382442729128814i,99.7851286742385+0.00382442783376715i,-0.000257168850538392+5.42479013532909e-10i,,,0.799562340196158,5211,5219
dwelling,15,15693.5936807915,16006.9725406534,313.37885986197,99.7851286742385+0.00382442783376715i,99.7809581663394+0.00382443660759976i,-0.00417050789913276+8.77383261269765e-09i,,14.9435229836283,,5219,5369
planning,0.8,16006.9725406534,16025.8864145543,18.9138739008904,99.7809581663394+0.00382443660759976i,99.7807061624359+0.00382443713906298i,-0.000252003903497666+5.31463214582806e-10i,,,0.761779254255429,5369,5377
traveling,6.99999999999999,16025.8864145543,16231.5737716272,205.687357072899,99.7807061624359+0.00382443713906298i,99.777958051059+0.00382444296762321i,-0.00274811137683173+5.8285602334146e-09i,7.00113632951294,,,5377,5447
planning,0.1,16231.5737716272,16234.1177589779,2.54398735070754,99.777958051059+0.00382444296762321i,99.77792412891+0.00382444303928599i,-3.39221490861519e-05+7.16627794432323e-11i,,,0.091933938842531,5447,5448
dwelling,16.4,16234.1177589779,16594.3870281716,360.269269193688,99.77792412891+0.00382444303928599i,99.7731273425869+0.00382445314349549i,-0.00479678632301273+1.01042095007782e-08i,,16.3999998482934,,5448,5612
